case_id,diagnosis,status,context_precision,context_recall,faithfulness,answer_relevancy,timestamp,error
case-001,Malaria,completed,0.7499999999625,1.0,0.22580645161290322,0.9672939836746455,2025-11-06T09:41:01.818978,
case-002,Dengue,completed,0.0,0.0,nan,0.9357657263959721,2025-11-06T09:42:20.507596,
case-003,Typhoid Fever,completed,0.19999999998,0.0,0.927536231884058,0.981320747810264,2025-11-06T09:44:00.749273,
case-004,Cholera,completed,0.9999999999,1.0,nan,0.9553807891957217,2025-11-06T09:44:58.918423,
case-005,Leptospirosis,completed,0.0,0.0,nan,0.9203880673352033,2025-11-06T09:46:32.065891,
